names,D,std_grain,rho,std
1,504.9584722282675,0.0006675215418586182,3.054758104440815e+16,1.1440770268460734e+16
2,511.2893075179242,0.0010662069900863238,4.796961383630616e+16,2.905574054884565e+16
3,515.6704026631623,0.0009307740080693805,3.0280925361818416e+16,1.6148905227021616e+16
4,516.6069050517211,0.001022193291176614,3.3786290477317804e+16,1.982399754061193e+16
5,513.855649588643,0.0009954471311521434,3.5531651713162176e+16,2.019445895036215e+16
6,513.3161214151393,0.0010251102875651098,3.2341188386235468e+16,1.890901736755749e+16
7,517.0102232047117,0.0009532753042844379,3.446474994544852e+16,1.887339787525068e+16
8,519.0179622484009,0.0009638239199950652,3.4784882977801044e+16,1.9334285431750116e+16
9,513.5580817953573,0.0009496958825981776,3.5431808987726948e+16,1.9201048284844424e+16
10,537.2952154601377,0.0007952401660956967,3.452092380758851e+16,1.638895189260813e+16
11,524.7063528871176,0.000995066190276746,3.83347357473746e+16,2.2239153743265348e+16
12,513.3381993365207,0.000973549020981531,3.4912710196705364e+16,1.938663622821085e+16
13,511.55054017851705,0.0009571194733941012,3.550463126145151e+16,1.931511050429933e+16
14,511.07964639498675,0.0009873359412022845,3.432553311289649e+16,1.9245460791397e+16
15,510.216993749625,0.0009382710317134105,3.7583188829027624e+16,1.9990991944645596e+16
16,512.3756078180884,0.0010254928780232516,3.357402141311581e+16,1.9601167897882696e+16
17,688.6780477745143,0.0010519998626986604,4.526150694216819e+16,3.64349705388809e+16
18,516.406562228427,0.0008735388988135291,4.089150537803457e+16,2.04957866130807e+16
19,513.0871912689541,0.0009265376703023678,4.115899605286468e+16,2.174084990217016e+16
20,509.42010772453773,0.0010572332565502154,4.443813216544146e+16,2.65925623463916e+16
21,508.344670225528,0.001023200820262171,4.392825617600691e+16,2.5387539264516136e+16
22,513.1237890829556,0.0010384788025524423,4.3696971764308584e+16,2.5871917478070828e+16
23,515.4039037376323,0.0010345111325586814,4.648079863022075e+16,2.753683004821077e+16
24,510.65650535490386,0.0009529929649260804,4.219414245741932e+16,2.2815406915939244e+16
25,504.0907232532118,0.001034202603206962,4.338155571565347e+16,2.512910058349941e+16
26,507.0653498964824,0.0010259533819384735,4.383689548243705e+16,2.533896327927402e+16
27,513.4881330489945,0.0009555663927855601,4.159741161017748e+16,2.2678539195412484e+16
28,520.0175667744869,0.0009733426094749833,4.403002917237957e+16,2.4762256290854004e+16
29,523.9827546253972,0.0010301442083322126,4.606349484095655e+16,2.762672433661291e+16
30,513.5409107237514,0.0009931148323840445,4.2946170308325464e+16,2.433640632046235e+16
31,513.1003407825061,0.0009947231783323377,4.309743622280948e+16,2.4440690248420196e+16
32,506.5142107649201,0.0009754548165177284,4.177351363183135e+16,2.2932810820271228e+16
33,507.5298956401845,0.0009749664102146682,4.263240054374158e+16,2.343951173820364e+16
34,510.8053661053704,0.0009996018814463093,4.2015321970216264e+16,2.3836786265787464e+16
35,518.9408627779299,0.0010261720782438351,4.46868610854061e+16,2.644084945283041e+16
36,510.0480622708593,0.0010076951914528333,4.375560070287779e+16,2.4987996082727484e+16
37,512.012417472363,0.0009580061387818611,4.209576892378392e+16,2.2942710394778544e+16
38,525.6893266353769,0.0009494828519384258,4.276524319413281e+16,2.371727130857534e+16
39,508.3844733908873,0.0006479965660037141,3.050527487777489e+16,1.116599466202623e+16
