Image;Time(s);Temperature(oC);Change_in_Length(micrometer);Force(N)
Gio_52100mod3_300_2h_1_1-00001;;;;
Gio_52100mod3_300_2h_1_1-00002;;;;
Gio_52100mod3_300_2h_1_1-00003;;;;
Gio_52100mod3_300_2h_1_1-00004;;;;
Gio_52100mod3_300_2h_1_1-00005;;;;
Gio_52100mod3_300_2h_1_1-00006;;;;
Gio_52100mod3_300_2h_1_1-00007;;;;
Gio_52100mod3_300_2h_1_1-00008;4.2511615;23.353545;-0.008077999999999998;-0.005859
Gio_52100mod3_300_2h_1_1-00009;9.251258;23.3202865;-0.0053855;-0.005859
Gio_52100mod3_300_2h_1_1-00010;14.251519;23.3025035;0.0121175;-0.005859
Gio_52100mod3_300_2h_1_1-00011;19.2505425;23.353579500000002;0.024235;-0.005859
Gio_52100mod3_300_2h_1_1-00012;24.750887;23.380125;0.004039500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00013;29.751156;23.358034;0.005386;-0.005859
Gio_52100mod3_300_2h_1_1-00014;34.751085;23.4075555;-0.005385500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00015;40.251861500000004;23.394265500000003;0.0;-0.005859
Gio_52100mod3_300_2h_1_1-00016;45.250994000000006;23.3372965;-0.0498165;-0.005859
Gio_52100mod3_300_2h_1_1-00017;50.250399;23.475558499999998;-0.017503499999999998;-0.005859
Gio_52100mod3_300_2h_1_1-00018;55.251486;23.470428499999997;-0.005385500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00019;60.80246;31.082842;0.848227;-0.005859
Gio_52100mod3_300_2h_1_1-00020;65.50264;79.668648;7.222044;-0.005859
Gio_52100mod3_300_2h_1_1-00021;70.102203;125.932137;13.415443;-0.005859
Gio_52100mod3_300_2h_1_1-00022;75.251343;177.440277;20.597095;-0.005859
Gio_52100mod3_300_2h_1_1-00023;80.352654;228.542877;27.978014;-0.005859
Gio_52100mod3_300_2h_1_1-00024;85.501862;279.878357;35.760155;-0.005859
Gio_52100mod3_300_2h_1_1-00025;90.651192;331.449768;43.763107;-0.005859
Gio_52100mod3_300_2h_1_1-00026;95.802826;382.949097;51.884541;-0.005859
Gio_52100mod3_300_2h_1_1-00027;100.952065;434.513458;60.110992;-0.005859
Gio_52100mod3_300_2h_1_1-00028;106.101456;485.894989;68.474777;-0.005859
Gio_52100mod3_300_2h_1_1-00029;111.252899;537.435364;76.841263;-0.005859
Gio_52100mod3_300_2h_1_1-00030;116.4270555;589.169586;85.392189;-0.005859
Gio_52100mod3_300_2h_1_1-00031;121.577236;640.6493224999999;94.0185165;-0.005859
Gio_52100mod3_300_2h_1_1-00032;126.753235;692.265259;102.802376;-0.005859
Gio_52100mod3_300_2h_1_1-00033;131.8771135;742.8220825000001;111.2577135;-0.005859
Gio_52100mod3_300_2h_1_1-00034;137.003113;790.91626;116.479019;-0.005859
Gio_52100mod3_300_2h_1_1-00035;142.152893;847.35907;122.14463;-0.005859
Gio_52100mod3_300_2h_1_1-00036;147.302338;897.885315;137.396545;-0.005859
Gio_52100mod3_300_2h_1_1-00037;152.351395;948.172974;153.682495;-0.005859
Gio_52100mod3_300_2h_1_1-00038;156.953644;961.1090395;158.26291650000002;-0.005859
Gio_52100mod3_300_2h_1_1-00039;162.453293;960.348267;158.408325;-0.005859
Gio_52100mod3_300_2h_1_1-00040;167.45462;960.031433;158.497192;-0.005859
Gio_52100mod3_300_2h_1_1-00041;172.453568;960.035461;158.564514;-0.005859
Gio_52100mod3_300_2h_1_1-00042;177.953194;960.089111;158.652031;-0.005859
Gio_52100mod3_300_2h_1_1-00043;182.95361350000002;960.0645139999999;158.693764;-0.005859
Gio_52100mod3_300_2h_1_1-00044;187.95365149999998;959.9567870000001;158.709923;-0.005859
Gio_52100mod3_300_2h_1_1-00045;193.452805;960.031433;158.715317;-0.005859
Gio_52100mod3_300_2h_1_1-00046;198.453629;959.940369;158.70723;-0.005859
Gio_52100mod3_300_2h_1_1-00047;203.454681;959.992249;158.715317;-0.005859
Gio_52100mod3_300_2h_1_1-00048;208.953392;960.069336;158.743584;-0.005859
Gio_52100mod3_300_2h_1_1-00049;213.9532855;960.0357365;158.668175;-0.005859
Gio_52100mod3_300_2h_1_1-00050;218.9533155;960.0294495;158.7153095;-0.005859
Gio_52100mod3_300_2h_1_1-00051;223.95358249999998;959.972992;158.685684;-0.005859
Gio_52100mod3_300_2h_1_1-00052;229.452881;960.045471;158.720703;-0.005859
Gio_52100mod3_300_2h_1_1-00053;234.453766;960.030212;158.669525;-0.005859
Gio_52100mod3_300_2h_1_1-00054;239.452881;960.031799;158.5672;-0.005859
Gio_52100mod3_300_2h_1_1-00055;244.9539185;960.016327;158.5699005;-0.005859
Gio_52100mod3_300_2h_1_1-00056;249.95359050000002;959.9476925;158.5470125;-0.005859
Gio_52100mod3_300_2h_1_1-00057;254.453156;960.128296;158.534897;-0.005859
Gio_52100mod3_300_2h_1_1-00058;259.454193;959.813049;158.50528;-0.005859
Gio_52100mod3_300_2h_1_1-00059;264.452972;959.958069;158.44603;-0.005859
Gio_52100mod3_300_2h_1_1-00060;269.454132;960.040222;158.424484;-0.005859
Gio_52100mod3_300_2h_1_1-00061;274.452972;959.994629;158.40564;-0.005859
Gio_52100mod3_300_2h_1_1-00062;279.9533385;959.9878235000001;158.33563249999997;-0.005859
Gio_52100mod3_300_2h_1_1-00063;284.95405600000004;960.050171;158.324852;-0.005859
Gio_52100mod3_300_2h_1_1-00064;289.953949;960.023926;158.28042599999998;-0.005859
Gio_52100mod3_300_2h_1_1-00065;295.453217;960.128052;158.257523;-0.005859
Gio_52100mod3_300_2h_1_1-00066;300.454529;960.020264;158.182144;-0.005859
Gio_52100mod3_300_2h_1_1-00067;305.453583;960.092957;158.149811;-0.005859
Gio_52100mod3_300_2h_1_1-00068;310.454498;960.124146;158.114838;-0.005859
Gio_52100mod3_300_2h_1_1-00069;315.954117;960.0412905000001;158.0986635;-0.005859
Gio_52100mod3_300_2h_1_1-00070;320.9536895;959.8888855;158.04211450000003;-0.005859
Gio_52100mod3_300_2h_1_1-00071;325.95352149999997;959.9932555;157.992302;-0.005859
Gio_52100mod3_300_2h_1_1-00072;331.453369;959.989258;157.955933;-0.005859
Gio_52100mod3_300_2h_1_1-00073;336.454468;960.037292;157.915543;-0.005859
Gio_52100mod3_300_2h_1_1-00074;341.4534;960.048706;157.840149;-0.005859
Gio_52100mod3_300_2h_1_1-00075;346.9537045;960.0648495;157.80649549999998;-0.005859
Gio_52100mod3_300_2h_1_1-00076;351.953461;959.9207455000001;157.766106;-0.005859
Gio_52100mod3_300_2h_1_1-00077;356.9534605;959.9768675;157.771492;-0.005859
Gio_52100mod3_300_2h_1_1-00078;361.9540405;959.9975585;157.74859600000002;-0.005859
Gio_52100mod3_300_2h_1_1-00079;367.453278;960.013245;157.689362;-0.005859
Gio_52100mod3_300_2h_1_1-00080;372.454315;959.936707;157.638199;-0.005859
Gio_52100mod3_300_2h_1_1-00081;377.453339;960.016785;157.562805;-0.005859
Gio_52100mod3_300_2h_1_1-00082;382.454529;960.109924;157.538559;-0.005859
Gio_52100mod3_300_2h_1_1-00083;387.9537355;959.956207;157.53452299999998;-0.005859
Gio_52100mod3_300_2h_1_1-00084;392.9539035;959.9654235;157.543953;-0.005859
Gio_52100mod3_300_2h_1_1-00085;397.95401000000004;959.9293825;157.448357;-0.005859
Gio_52100mod3_300_2h_1_1-00086;403.453583;960.013489;157.438919;-0.005859
Gio_52100mod3_300_2h_1_1-00087;408.454529;960.030945;157.347382;-0.005859
Gio_52100mod3_300_2h_1_1-00088;413.453125;959.948181;157.298889;-0.005859
Gio_52100mod3_300_2h_1_1-00089;418.9539185;960.025848;157.28812399999998;-0.005859
Gio_52100mod3_300_2h_1_1-00090;423.9537965;959.9822695;157.2639005;-0.005859
Gio_52100mod3_300_2h_1_1-00091;428.9539185;960.0014954999999;157.226196;-0.005859
Gio_52100mod3_300_2h_1_1-00092;433.953705;960.0253905;157.1723405;-0.005859
Gio_52100mod3_300_2h_1_1-00093;439.452789;959.956421;157.142731;-0.005859
Gio_52100mod3_300_2h_1_1-00094;444.453949;960.064148;157.096939;-0.005859
Gio_52100mod3_300_2h_1_1-00095;449.452881;959.988831;157.072708;-0.005859
Gio_52100mod3_300_2h_1_1-00096;454.454071;959.945923;157.05925;-0.005859
Gio_52100mod3_300_2h_1_1-00097;459.9541015;959.928009;156.99596400000001;-0.005859
Gio_52100mod3_300_2h_1_1-00098;464.953888;960.024963;156.894989;-0.005859
Gio_52100mod3_300_2h_1_1-00099;469.953751;959.995605;156.877495;-0.005859
Gio_52100mod3_300_2h_1_1-00100;475.454193;959.969116;156.878815;-0.005859
Gio_52100mod3_300_2h_1_1-00101;480.452942;960.016052;156.878815;-0.005859
Gio_52100mod3_300_2h_1_1-00102;485.454071;959.972717;156.795349;-0.005859
Gio_52100mod3_300_2h_1_1-00103;490.9539795;960.012146;156.773804;-0.005859
Gio_52100mod3_300_2h_1_1-00104;495.9537355;959.9301145;156.703796;-0.005859
Gio_52100mod3_300_2h_1_1-00105;500.9533995;959.9823305;156.69572449999998;-0.005859
Gio_52100mod3_300_2h_1_1-00106;505.9534605;960.026245;156.67283650000002;-0.005859
Gio_52100mod3_300_2h_1_1-00107;511.453705;959.977173;156.649948;-0.005859
Gio_52100mod3_300_2h_1_1-00108;516.454529;960.152832;156.558395;-0.005859
Gio_52100mod3_300_2h_1_1-00109;521.453857;960.12561;156.606873;-0.005859
Gio_52100mod3_300_2h_1_1-00110;526.9530945;959.9840395;156.5233915;-0.005859
Gio_52100mod3_300_2h_1_1-00111;531.954193;959.9483645;156.517998;-0.005859
Gio_52100mod3_300_2h_1_1-00112;536.953125;960.025635;156.493759;-0.005859
Gio_52100mod3_300_2h_1_1-00113;541.9539795000001;959.9492495;156.439911;-0.005859
Gio_52100mod3_300_2h_1_1-00114;547.453796;960.056702;156.380661;-0.005859
Gio_52100mod3_300_2h_1_1-00115;552.45282;960.026123;156.278336;-0.005859
Gio_52100mod3_300_2h_1_1-00116;557.453613;960.036865;156.289108;-0.005859
Gio_52100mod3_300_2h_1_1-00117;562.954071;959.9947205000001;156.299881;-0.005859
Gio_52100mod3_300_2h_1_1-00118;567.9541320000001;959.9561465;156.219093;-0.005859
Gio_52100mod3_300_2h_1_1-00119;572.9540099999999;959.952301;156.2298735;-0.005859
Gio_52100mod3_300_2h_1_1-00120;578.454529;959.95105;156.162552;-0.005859
Gio_52100mod3_300_2h_1_1-00121;583.453796;960.0;156.259476;-0.005859
Gio_52100mod3_300_2h_1_1-00122;588.454285;959.943176;156.141006;-0.005859
Gio_52100mod3_300_2h_1_1-00123;593.454712;960.07251;156.100616;-0.005859
Gio_52100mod3_300_2h_1_1-00124;598.9538574999999;959.919525;156.029251;-0.005859
Gio_52100mod3_300_2h_1_1-00125;603.9536135;960.0516665;156.022522;-0.005859
Gio_52100mod3_300_2h_1_1-00126;608.953247;960.038055;155.987526;-0.005859
Gio_52100mod3_300_2h_1_1-00127;614.452881;960.040222;155.984818;-0.005859
Gio_52100mod3_300_2h_1_1-00128;618.9533385;959.9822695;155.97002400000002;-0.005859
Gio_52100mod3_300_2h_1_1-00129;623.453552;960.010559;155.944443;-0.005859
Gio_52100mod3_300_2h_1_1-00130;628.9536439999999;960.0266724999999;155.909439;-0.005859
Gio_52100mod3_300_2h_1_1-00131;633.9536745;959.9894715;155.8811645;-0.005859
Gio_52100mod3_300_2h_1_1-00132;638.953583;960.0508115;155.867691;-0.005859
Gio_52100mod3_300_2h_1_1-00133;643.953125;959.977356;155.842117;-0.005859
Gio_52100mod3_300_2h_1_1-00134;649.452637;960.051147;155.761322;-0.005859
Gio_52100mod3_300_2h_1_1-00135;654.453735;959.891602;155.75325;-0.005859
Gio_52100mod3_300_2h_1_1-00136;659.454468;960.082947;155.726334;-0.005859
Gio_52100mod3_300_2h_1_1-00137;664.453308;959.916992;155.734406;-0.005859
Gio_52100mod3_300_2h_1_1-00138;669.95343;960.0591735;155.6697695;-0.005859
Gio_52100mod3_300_2h_1_1-00139;674.9535525;959.926056;155.634766;-0.005859
Gio_52100mod3_300_2h_1_1-00140;679.9531555000001;959.9941100000001;155.597069;-0.005859
Gio_52100mod3_300_2h_1_1-00141;685.453674;959.934753;155.564743;-0.005859
Gio_52100mod3_300_2h_1_1-00142;690.452576;959.999207;155.556671;-0.005859
Gio_52100mod3_300_2h_1_1-00143;695.453857;960.104797;155.529755;-0.005859
Gio_52100mod3_300_2h_1_1-00144;700.45282;960.017883;155.537827;-0.005859
Gio_52100mod3_300_2h_1_1-00145;705.9533690000001;959.977814;155.478584;-0.005859
Gio_52100mod3_300_2h_1_1-00146;710.9535525;959.9978329999999;155.4341505;-0.005859
Gio_52100mod3_300_2h_1_1-00147;715.9541624999999;959.9967955;155.37491599999998;-0.005859
Gio_52100mod3_300_2h_1_1-00148;720.9531555;959.9880065;155.3776095;-0.005859
Gio_52100mod3_300_2h_1_1-00149;725.9530945;960.035431;155.31028;-0.005859
Gio_52100mod3_300_2h_1_1-00150;730.452637;959.984924;155.295486;-0.005859
Gio_52100mod3_300_2h_1_1-00151;735.453369;959.973755;155.317032;-0.005859
Gio_52100mod3_300_2h_1_1-00152;740.45459;959.972717;155.276627;-0.005859
Gio_52100mod3_300_2h_1_1-00153;744.9540405;960.002594;155.263176;-0.005859
Gio_52100mod3_300_2h_1_1-00154;749.9539795000001;959.9889525;155.195839;-0.005859
Gio_52100mod3_300_2h_1_1-00155;754.953827;959.974823;155.191803;-0.005859
Gio_52100mod3_300_2h_1_1-00156;760.454102;960.088196;155.168915;-0.005859
Gio_52100mod3_300_2h_1_1-00157;765.453003;960.04248;155.10968;-0.005859
Gio_52100mod3_300_2h_1_1-00158;770.454102;960.03772;155.088135;-0.005859
Gio_52100mod3_300_2h_1_1-00159;775.9537355;959.947754;155.08004749999998;-0.005859
Gio_52100mod3_300_2h_1_1-00160;780.454285;960.066711;155.058517;-0.005859
Gio_52100mod3_300_2h_1_1-00161;784.9536745;960.013275;155.023506;-0.005859
Gio_52100mod3_300_2h_1_1-00162;789.953766;959.952026;154.999275;-0.005859
Gio_52100mod3_300_2h_1_1-00163;795.453125;960.0578;154.993881;-0.005859
Gio_52100mod3_300_2h_1_1-00164;800.454163;960.095276;154.937332;-0.005859
Gio_52100mod3_300_2h_1_1-00165;805.45343;960.099976;154.953491;-0.005859
Gio_52100mod3_300_2h_1_1-00166;810.9539795000001;959.9193115;154.91310149999998;-0.005859
Gio_52100mod3_300_2h_1_1-00167;815.9539185;960.079071;154.8592455;-0.005859
Gio_52100mod3_300_2h_1_1-00168;820.453796;959.947876;154.867325;-0.005859
Gio_52100mod3_300_2h_1_1-00169;825.452576;959.960815;154.851166;-0.005859
Gio_52100mod3_300_2h_1_1-00170;830.453674;959.989563;154.840393;-0.005859
Gio_52100mod3_300_2h_1_1-00171;835.453186;959.881348;154.781158;-0.005859
Gio_52100mod3_300_2h_1_1-00172;840.454163;959.920288;154.759613;-0.005859
Gio_52100mod3_300_2h_1_1-00173;845.9534914999999;959.9900204999999;154.729996;-0.005859
Gio_52100mod3_300_2h_1_1-00174;850.953308;960.0620425;154.699028;-0.005859
Gio_52100mod3_300_2h_1_1-00175;855.953583;959.906647;154.68556999999998;-0.005859
Gio_52100mod3_300_2h_1_1-00176;860.953522;959.9596859999999;154.62632;-0.005859
Gio_52100mod3_300_2h_1_1-00177;866.454224;960.019836;154.603424;-0.005859
Gio_52100mod3_300_2h_1_1-00178;871.453064;960.063599;154.603424;-0.005859
Gio_52100mod3_300_2h_1_1-00179;876.454163;959.862488;154.573807;-0.005859
Gio_52100mod3_300_2h_1_1-00180;881.95343;959.9716495;154.51322199999998;-0.005859
Gio_52100mod3_300_2h_1_1-00181;886.9534610000001;960.002014;154.5024565;-0.005859
Gio_52100mod3_300_2h_1_1-00182;891.9531555;960.001587;154.482254;-0.005859
Gio_52100mod3_300_2h_1_1-00183;896.9533994999999;959.998108;154.47013850000002;-0.005859
Gio_52100mod3_300_2h_1_1-00184;902.454224;959.973877;154.458023;-0.005859
Gio_52100mod3_300_2h_1_1-00185;907.452942;960.142029;154.431091;-0.005859
Gio_52100mod3_300_2h_1_1-00186;912.453735;960.078674;154.393387;-0.005859
Gio_52100mod3_300_2h_1_1-00187;917.9542845000001;960.0061955000001;154.373192;-0.005859
Gio_52100mod3_300_2h_1_1-00188;922.9530945;959.928467;154.348961;-0.005859
Gio_52100mod3_300_2h_1_1-00189;927.953247;959.960785;154.3435745;-0.005859
Gio_52100mod3_300_2h_1_1-00190;932.9537965;960.021118;154.300499;-0.005859
Gio_52100mod3_300_2h_1_1-00191;938.454102;960.063599;154.261459;-0.005859
Gio_52100mod3_300_2h_1_1-00192;943.452698;960.007996;154.250687;-0.005859
Gio_52100mod3_300_2h_1_1-00193;948.453796;959.997803;154.250671;-0.005859
Gio_52100mod3_300_2h_1_1-00194;953.45282;960.055054;154.212982;-0.005859
Gio_52100mod3_300_2h_1_1-00195;958.9534914999999;959.9816895;154.19413;-0.005859
Gio_52100mod3_300_2h_1_1-00196;963.953491;960.0480955;154.1887435;-0.005859
Gio_52100mod3_300_2h_1_1-00197;968.453857;960.044922;154.167206;-0.005859
Gio_52100mod3_300_2h_1_1-00198;973.454651;960.024963;154.099869;-0.005859
Gio_52100mod3_300_2h_1_1-00199;978.453125;959.97644;154.113342;-0.005859
Gio_52100mod3_300_2h_1_1-00200;983.454346;959.922241;154.107956;-0.005859
Gio_52100mod3_300_2h_1_1-00201;988.453369;960.047485;154.06488;-0.005859
Gio_52100mod3_300_2h_1_1-00202;993.953186;960.0474855;154.0527495;-0.005859
Gio_52100mod3_300_2h_1_1-00203;998.9541624999999;960.0832215;153.993515;-0.005859
Gio_52100mod3_300_2h_1_1-00204;1003.9541015;960.0297245;153.949097;-0.005859
Gio_52100mod3_300_2h_1_1-00205;1009.452698;959.951782;153.981384;-0.005859
Gio_52100mod3_300_2h_1_1-00206;1014.453857;959.889587;153.92485;-0.005859
Gio_52100mod3_300_2h_1_1-00207;1019.452698;960.016846;153.927536;-0.005859
Gio_52100mod3_300_2h_1_1-00208;1024.453857;959.964172;153.897919;-0.005859
Gio_52100mod3_300_2h_1_1-00209;1029.953308;959.9981075000001;153.8642505;-0.005859
Gio_52100mod3_300_2h_1_1-00210;1034.9533689999998;959.9956055;153.857529;-0.005859
Gio_52100mod3_300_2h_1_1-00211;1039.953308;959.996155;153.85752100000002;-0.005859
Gio_52100mod3_300_2h_1_1-00212;1045.452881;959.960815;153.817139;-0.005859
Gio_52100mod3_300_2h_1_1-00213;1050.454346;959.905212;153.838684;-0.005859
Gio_52100mod3_300_2h_1_1-00214;1055.453247;959.946167;153.790207;-0.005859
Gio_52100mod3_300_2h_1_1-00215;1060.454224;960.026245;153.768661;-0.005859
Gio_52100mod3_300_2h_1_1-00216;1065.953491;959.9674075;153.7053985;-0.005859
Gio_52100mod3_300_2h_1_1-00217;1070.9537355;959.9733275;153.6730725;-0.005859
Gio_52100mod3_300_2h_1_1-00218;1075.95343;960.1031184999999;153.670387;-0.005859
Gio_52100mod3_300_2h_1_1-00219;1081.453979;959.970398;153.666336;-0.005859
Gio_52100mod3_300_2h_1_1-00220;1086.453125;959.977844;153.604401;-0.005859
Gio_52100mod3_300_2h_1_1-00221;1091.454102;960.045837;153.62326;-0.005859
Gio_52100mod3_300_2h_1_1-00222;1096.452637;959.983582;153.647476;-0.005859
Gio_52100mod3_300_2h_1_1-00223;1101.953247;959.9335325;153.5424805;-0.005859
Gio_52100mod3_300_2h_1_1-00224;1106.953247;959.9985655;153.5074695;-0.005859
Gio_52100mod3_300_2h_1_1-00225;1111.9541625;960.0357055;153.502075;-0.005859
Gio_52100mod3_300_2h_1_1-00226;1117.453857;960.059326;153.523621;-0.005859
Gio_52100mod3_300_2h_1_1-00227;1122.452759;959.933838;153.464401;-0.005859
Gio_52100mod3_300_2h_1_1-00228;1127.453613;959.95166;153.448227;-0.005859
Gio_52100mod3_300_2h_1_1-00229;1132.454712;960.072205;153.402451;-0.005859
Gio_52100mod3_300_2h_1_1-00230;1137.9539795;959.97522;153.390335;-0.005859
Gio_52100mod3_300_2h_1_1-00231;1142.9541015;959.9391479999999;153.3741765;-0.005859
Gio_52100mod3_300_2h_1_1-00232;1147.9539795;959.9535825;153.34590150000002;-0.005859
Gio_52100mod3_300_2h_1_1-00233;1153.453613;960.008789;153.362061;-0.005859
Gio_52100mod3_300_2h_1_1-00234;1158.45459;960.023926;153.27858;-0.005859
Gio_52100mod3_300_2h_1_1-00235;1163.453369;959.980286;153.273193;-0.005859
Gio_52100mod3_300_2h_1_1-00236;1168.45459;959.998718;153.283966;-0.005859
Gio_52100mod3_300_2h_1_1-00237;1173.9536745;960.003113;153.243561;-0.005859
Gio_52100mod3_300_2h_1_1-00238;1178.953247;960.0007935;153.20721450000002;-0.005859
Gio_52100mod3_300_2h_1_1-00239;1183.95343;960.027252;153.18837000000002;-0.005859
Gio_52100mod3_300_2h_1_1-00240;1188.953491;960.028595;153.1735685;-0.005859
Gio_52100mod3_300_2h_1_1-00241;1194.453979;960.034851;153.195099;-0.005859
Gio_52100mod3_300_2h_1_1-00242;1199.452759;960.00293;153.146637;-0.005859
Gio_52100mod3_300_2h_1_1-00243;1204.453735;960.02356;153.135864;-0.005859
Gio_52100mod3_300_2h_1_1-00244;1209.9539184999999;959.9905395000001;153.096817;-0.005859
Gio_52100mod3_300_2h_1_1-00245;1214.953308;960.046692;153.073929;-0.005859
Gio_52100mod3_300_2h_1_1-00246;1219.953308;960.066284;153.0443035;-0.005859
Gio_52100mod3_300_2h_1_1-00247;1225.452759;960.026794;153.044327;-0.005859
Gio_52100mod3_300_2h_1_1-00248;1230.453857;959.928406;152.982376;-0.005859
Gio_52100mod3_300_2h_1_1-00249;1235.453003;959.951294;152.960815;-0.005859
Gio_52100mod3_300_2h_1_1-00250;1240.453613;960.02301;152.968918;-0.005859
Gio_52100mod3_300_2h_1_1-00251;1245.95343;960.046814;152.94602200000003;-0.005859
Gio_52100mod3_300_2h_1_1-00252;1250.9533689999998;959.9750975;152.929863;-0.005859
Gio_52100mod3_300_2h_1_1-00253;1255.953491;960.0176695;152.91639750000002;-0.005859
Gio_52100mod3_300_2h_1_1-00254;1261.453247;960.078064;152.888123;-0.005859
Gio_52100mod3_300_2h_1_1-00255;1266.454224;959.930176;152.863892;-0.005859
Gio_52100mod3_300_2h_1_1-00256;1271.453247;960.085205;152.826187;-0.005859
Gio_52100mod3_300_2h_1_1-00257;1276.454346;960.035034;152.801956;-0.005859
Gio_52100mod3_300_2h_1_1-00258;1281.95343;960.0225525000001;152.7831115;-0.005859
Gio_52100mod3_300_2h_1_1-00259;1286.953125;960.0224000000001;152.754845;-0.005859
Gio_52100mod3_300_2h_1_1-00260;1291.953247;959.936829;152.754837;-0.005859
Gio_52100mod3_300_2h_1_1-00261;1297.45459;960.038147;152.745407;-0.005859
Gio_52100mod3_300_2h_1_1-00262;1302.453735;960.01709;152.686172;-0.005859
Gio_52100mod3_300_2h_1_1-00263;1307.454224;959.960327;152.656555;-0.005859
Gio_52100mod3_300_2h_1_1-00264;1312.452637;959.821106;152.659225;-0.005859
Gio_52100mod3_300_2h_1_1-00265;1317.9541625;960.037506;152.6403885;-0.005859
Gio_52100mod3_300_2h_1_1-00266;1322.953125;959.9506835;152.6228865;-0.005859
Gio_52100mod3_300_2h_1_1-00267;1327.9541625;959.9972534999999;152.6094285;-0.005859
Gio_52100mod3_300_2h_1_1-00268;1333.453613;960.101624;152.602676;-0.005859
Gio_52100mod3_300_2h_1_1-00269;1338.452881;960.11853;152.564987;-0.005859
Gio_52100mod3_300_2h_1_1-00270;1343.453979;959.948975;152.554199;-0.005859
Gio_52100mod3_300_2h_1_1-00271;1348.9534915;960.0247805;152.53672799999998;-0.005859
Gio_52100mod3_300_2h_1_1-00272;1353.9535525000001;959.9949035;152.51516700000002;-0.005859
Gio_52100mod3_300_2h_1_1-00273;1358.9536135;959.9813235;152.500374;-0.005859
Gio_52100mod3_300_2h_1_1-00274;1364.453369;960.006958;152.500366;-0.005859
Gio_52100mod3_300_2h_1_1-00275;1369.454102;960.063721;152.481522;-0.005859
Gio_52100mod3_300_2h_1_1-00276;1373.9536134999998;959.895111;152.4761355;-0.005859
Gio_52100mod3_300_2h_1_1-00277;1378.9538575;959.9653625;152.428993;-0.005859
Gio_52100mod3_300_2h_1_1-00278;1383.9539184999999;960.0875550000001;152.4249725;-0.005859
Gio_52100mod3_300_2h_1_1-00279;1388.9539795;959.933411;152.379181;-0.005859
Gio_52100mod3_300_2h_1_1-00280;1393.9535525000001;959.9772645;152.38727599999999;-0.005859
Gio_52100mod3_300_2h_1_1-00281;1399.453857;960.033875;152.325333;-0.005859
Gio_52100mod3_300_2h_1_1-00282;1404.453491;959.963562;152.319962;-0.005859
Gio_52100mod3_300_2h_1_1-00283;1409.45459;960.080017;152.298416;-0.005859
Gio_52100mod3_300_2h_1_1-00284;1414.9537965;960.0718385;152.26474000000002;-0.005859
Gio_52100mod3_300_2h_1_1-00285;1419.9540405;959.9909975;152.263405;-0.005859
Gio_52100mod3_300_2h_1_1-00286;1424.9539184999999;959.94046;152.255325;-0.005859
Gio_52100mod3_300_2h_1_1-00287;1430.453369;959.956421;152.209549;-0.005859
Gio_52100mod3_300_2h_1_1-00288;1435.452759;959.940979;152.196075;-0.005859
Gio_52100mod3_300_2h_1_1-00289;1440.454102;960.040894;152.196075;-0.005859
Gio_52100mod3_300_2h_1_1-00290;1445.453003;959.976929;152.126083;-0.005859
Gio_52100mod3_300_2h_1_1-00291;1450.953308;959.9852599999999;152.12741849999998;-0.005859
Gio_52100mod3_300_2h_1_1-00292;1455.953308;960.0043335;152.096451;-0.005859
Gio_52100mod3_300_2h_1_1-00293;1460.95343;959.931427;152.06818399999997;-0.005859
Gio_52100mod3_300_2h_1_1-00294;1466.454346;960.018616;152.080292;-0.005859
Gio_52100mod3_300_2h_1_1-00295;1471.452881;960.001648;152.061447;-0.005859
Gio_52100mod3_300_2h_1_1-00296;1476.453979;959.90918;152.029144;-0.005859
Gio_52100mod3_300_2h_1_1-00297;1481.953552;960.0391844999999;151.9941255;-0.005859
Gio_52100mod3_300_2h_1_1-00298;1486.9535525000001;960.035065;151.988739;-0.005859
Gio_52100mod3_300_2h_1_1-00299;1491.9533689999998;959.9711605;151.964508;-0.005859
Gio_52100mod3_300_2h_1_1-00300;1496.9537965;959.9948730000001;151.93758350000002;-0.005859
Gio_52100mod3_300_2h_1_1-00301;1502.454468;959.999573;151.937576;-0.005859
Gio_52100mod3_300_2h_1_1-00302;1507.453125;960.001343;151.916031;-0.005859
Gio_52100mod3_300_2h_1_1-00303;1512.453979;960.05426;151.875641;-0.005859
Gio_52100mod3_300_2h_1_1-00304;1517.95343;960.050659;151.862175;-0.005859
Gio_52100mod3_300_2h_1_1-00305;1522.9542845;960.0422665000001;151.8527525;-0.005859
Gio_52100mod3_300_2h_1_1-00306;1527.953491;960.002258;151.8056335;-0.005859
Gio_52100mod3_300_2h_1_1-00307;1533.452637;959.935547;151.827164;-0.005859
Gio_52100mod3_300_2h_1_1-00308;1538.453491;959.929077;151.776001;-0.005859
Gio_52100mod3_300_2h_1_1-00309;1543.452759;960.039978;151.754456;-0.005859
Gio_52100mod3_300_2h_1_1-00310;1548.453735;960.073975;151.749084;-0.005859
Gio_52100mod3_300_2h_1_1-00311;1553.9542235;960.0444335;151.70599349999998;-0.005859
Gio_52100mod3_300_2h_1_1-00312;1558.953125;960.0133055;151.710037;-0.005859
Gio_52100mod3_300_2h_1_1-00313;1563.9541015;960.0805049999999;151.67503349999998;-0.005859
